M,A
18,33
0,34
13,32
19,24
16,19
2,22
5,1
7,54
27,29
2,4
4,16
4,7
4,17
21,17
9,35
25,21
15,34
17,9
10,21
10,35
16,40
6,23
30,21
4,15
15,15
