M,A
3,4
12,53
0,2
37,17
15,7
7,0
0,27
10,0
4,4
3,3
27,27
15,24
8,0
8,1
16,6
5,1
6,2
53,4
21,10
1,2
1,0
60,1
19,4
5,49
